Name,Abbreviation,2012 Estimate,2011 Estimate,2010 Census Population,2011-12 Population Change,2011-12 Percent Change,2012 Births,2012 Deaths,2012 International Net Migration,2012 Net Domestic Migration,2012 Residual
Alabama,AL,4822023,4803689,4779736,18334,0.38,60990,48719,6005,-133,191
Alaska,AK,731449,723860,710231,7589,1.05,11448,3431,2701,-3135,6
Arizona,AZ,6553255,6467315,6392017,85940,1.33,87297,48137,12293,34456,31
Arkansas,AR,2949131,2938582,2915918,10549,0.36,37877,29223,3241,-1452,106
California,CA,38041430,37683933,37253956,357497,0.95,513587,242848,132593,-44541,-1294
Colorado,CO,5187582,5116302,5029196,71280,1.39,65886,32355,9482,27962,305
Connecticut,CT,3590347,3586717,3574097,3630,0.1,36522,29132,15627,-19251,-136
Delaware,DE,917092,908137,897934,8955,0.99,11197,7836,2459,3203,-68
District of Columbia,DC,632323,619020,601723,13303,2.15,9156,4873,2903,6050,67
Florida,FL,19317568,19082262,18801310,235306,1.23,212077,177951,99386,101411,383
Georgia,GA,9919945,9812460,9687653,107485,1.1,132849,72730,27032,19928,406
Hawaii,HI,1392313,1378129,1360301,14184,1.03,18392,10355,9207,-3015,-45
Idaho,ID,1595728,1583744,1567582,11984,0.76,22335,11620,1913,-698,54
Illinois,IL,12875255,12859752,12830632,15503,0.12,162383,102533,29132,-73453,-26
Indiana,IN,6537334,6516353,6483802,20981,0.32,83264,57619,8708,-13291,-81
Iowa,IA,3074186,3064097,3046355,10089,0.33,37782,28307,4265,-3618,-33
Kansas,KS,2885905,2870386,2853118,15519,0.54,39988,24349,5488,-5621,13
Kentucky,KY,4380415,4366814,4339367,13601,0.31,55467,42705,6672,-5794,-39
Louisiana,LA,4601893,4574766,4533372,27127,0.59,63272,41797,6741,-1243,154
Maine,ME,1329192,1328544,1328361,648,0.05,12754,12857,1120,-261,-108
Maryland,MD,5884563,5839572,5773552,44991,0.77,71840,44737,25960,-7821,-251
Massachusetts,MA,6646144,6607003,6547629,39141,0.59,72135,53356,30416,-9613,-441
Michigan,MI,9883360,9876801,9883640,6559,0.07,111133,88633,17000,-32982,41
Minnesota,MN,5379139,5347299,5303925,31840,0.6,67002,39351,12489,-8127,-173
Mississippi,MS,2984926,2977457,2967297,7469,0.25,40021,29197,3111,-6570,104
Missouri,MO,6021988,6008984,5988927,13004,0.22,74646,55297,7959,-14195,-109
Montana,MT,1005141,997667,989415,7474,0.75,11855,8763,627,3746,9
Nebraska,NE,1855525,1842234,1826341,13291,0.72,26215,15022,3149,-967,-84
Nevada,NV,2758931,2720028,2700551,38903,1.43,36188,19966,8739,13918,24
New Hampshire,NH,1320718,1317807,1316470,2911,0.22,12479,10407,1828,-956,-33
New Jersey,NJ,8864590,8834773,8791894,29817,0.34,102379,69686,46609,-49300,-185
New Mexico,NM,2085538,2078674,2059179,6864,0.33,28306,16192,2348,-7577,-21
New York,NY,19570261,19501616,19378102,68645,0.35,238192,150047,96739,-115754,-485
North Carolina,NC,9752073,9651103,9535483,100970,1.05,120432,79944,26465,33641,376
North Dakota,ND,699628,684740,672591,14888,2.17,9058,5961,1178,10476,137
Ohio,OH,11544225,11541007,11536504,3218,0.03,135087,109649,15474,-37622,-72
Oklahoma,OK,3814820,3784163,3751351,30657,0.81,51673,35741,5761,8900,64
Oregon,OR,3899353,3868229,3831074,31124,0.8,45022,32171,6705,11685,-117
Pennsylvania,PA,12763536,12743948,12702379,19588,0.15,141011,127015,25058,-18767,-699
Rhode Island,RI,1050292,1050646,1052567,-354,-0.03,10706,9263,3553,-5340,-10
South Carolina,SC,4723723,4673348,4625364,50375,1.08,57433,42365,8557,26564,186
South Dakota,SD,833354,823593,814180,9761,1.19,11546,6963,959,4211,8
Tennessee,TN,6456243,6399787,6346105,56456,0.88,79656,60429,9383,27684,162
Texas,TX,26059203,25631778,25145561,427425,1.67,385203,170165,69702,140888,1797
Utah,UT,2855287,2814347,2763885,40940,1.45,51071,14826,4811,-81,-35
Vermont,VT,626011,626592,625741,-581,-0.09,5783,5207,596,-1726,-27
Virginia,VA,8185867,8104384,8001024,81483,1.01,101199,60600,33468,7376,40
Washington,WA,6897012,6823267,6724540,73745,1.08,86475,49551,22838,13965,18
West Virginia,WV,1855413,1854908,1852994,505,0.03,20226,21832,923,1247,-59
Wisconsin,WI,5726398,5709843,5686986,16555,0.29,67672,47034,5989,-9929,-143
Wyoming,WY,576412,567356,563626,9056,1.6,7426,4426,442,5522,92